Find candidates who are technician with clearance,"""fire alarm technician"" AND (""top secret clearance"" OR ""secret clearance"" OR ""security clearance"" OR ""top security clearance"") AND (notifier OR siemens OR simplex) AND nicet"
Machanical Estimator or Estimating Manager,(&#34;resume OR vitae OR cv&#34;) AND Mechanical Cost Estimator OR Sheet Metal Estimating Manager -jobs -samples
Quantity Surveyor,(&#34;Quantity Surveyor&#34; OR &#34;Cost Consultant&#34; OR &#34;Commercial Manager&#34;) AND (&#34;Buildings&#34; OR &#34;Warehouse&#34; OR &#34;Office&#34; OR &#34;Commercial&#34;) AND (&#34;MRICS&#34; AND Chartered)
Quantity Surveyor,(&#34;Quantity Surveyor&#34; OR &#34;Cost Consultant&#34; OR &#34;Commercial Manager&#34;) AND (&#34;Buildings&#34; OR &#34;Warehouse&#34; OR &#34;Office&#34; OR &#34;Commercial&#34;) AND (&#34;BAE&#34; AND &#34;Chartered&#34; AND &#34;MRICS&#34;) AND (&#34;Ministry of Defense&#34; OR &#34;MOD&#34;) AND (Manufacturing AND Technology)
Rail QS,(&#34;Commercial Manager&#34; OR &#34; Senior Commercial Manager&#34; OR &#34;Quantity Surveyor&#34; OR &#34;Senior Quantity Surveyor&#34; OR &#34;Cost Consultant&#34;) AND (&#34;Chartered&#34; AND &#34;Infrastructure&#34; AND &#34;NEC&#34; AND &#34;Building&#34; OR &#34;Rail&#34;)
