Description,String
"Mobile User Acquisition Lead for APAC, Japanese","(advertising OR ""ad tech"" OR ""advertising technology"" OR DSP OR ""digital media"" OR programmatic) AND (""media buyer"" OR ""media planner"" OR analyst OR ""user acquisition"" OR UA OR ""marketing science"") AND (manager OR director OR ""senior director"" OR VP OR ""vice President"" OR CMO OR ""chief marketing officer"") AND (programmatic OR google OR facebook OR twitter OR utube OR display) AND (APAC OR ""asia Pacific"" OR JPN OR Japan OR Japanese)"
passionate about video games,Editor AND starwars AND fps
