"Account Manager, Technical Account Manager, Financial Services","((""account management"" OR ""integration"" OR ""saas"" OR ""enterprise software"" OR ""cloud computing"") AND (""windows server"" OR ""vmware"" OR ""data center"" OR ""troubleshooting"" OR ""virtualization"") AND (""hedge funds"" OR ""financial markets"" OR ""trading systems"" OR ""market data"") AND (""account"" OR ""account manager"" OR ""technical"" OR ""customer service"" OR ""network infrastructure"") AND ""financial services"")"
Cybersecutity expert (Defender or Researcher),(&#39;&#39;Cybersecurity Specialist&#39;&#39; OR &#39;&#39;Cyber Security Specialist&#39;&#39; OR &#34;Cybersecurity Expert&#34;) (Defender OR Researcher) site:linkedin.com/in
Network admin,(&#34;Network Admin&#34; OR &#34;Network administrator&#34; OR &#34;Systems Admin&#34; OR &#34;Systems Administrator&#34;) AND (server OR servers) AND (exchange OR cloud OR â€œoffice 365â€ OR SharePoint OR â€œActive Directoryâ€) AND (vmware OR virtual* OR DNS OR DHCP)
SAP C4C,(&#34;Cloud for Customer&#34; OR &#34;C4C&#34; OR &#34;Cloud 4 Customer&#34; OR &#34;Cloud-for-Customer&#34; OR &#34;C-4-C&#34; OR &#34;Cloud-4-Customer&#34; OR &#34;Cloud for Customers&#34; OR &#34;Cloud 4 Customers&#34; OR &#34;Cloud-for-Customers&#34; OR &#34;Cloud-4-Customers&#34;) AND (&#34;UI&#34; OR &#34;User Interface&#34; OR &#34;User Interfaces&#34; OR &#34;UserInterface&#34; OR &#34;UserInterfaces&#34; OR &#34;User-Interface&#34; OR &#34;User-Interfaces&#34; OR &#34;GUI&#34; OR &#34;UI5&#34; OR &#34;WEBUI&#34; OR &#34;UI-5&#34; OR &#34;WEB-UI&#34;) AND (&#34;Cloud Applications Studio&#34; OR SDK)
Hybris and Java Developer Toronto,(developer OR programmer OR consultant) AND (java OR j2ee) AND Hybris AND Toronto
System Admin with Secret Clearance in California,(intitle:resume OR intitle:cv) â€œSystem Administratorâ€ (Secret or Clearance) (CA or California) (UNIX or LINUX) -job -jobs -sample â€“templates
System Engineer in California with Cyber and Secret,(intitle:resume OR intitle:cv) &#34;System Engineer&#34; (Secret or Clearance) (CA or California) (Cyber or Cyber Security) -job -jobs -sample â€“templates
