Description,String
UX Designer in San Francisco who can code in HTML and CSS (Courtesy of TalentSonar),"( -job -jobs -career -opening -openings ) (resume OR cv ) (""ux designer"" OR ""ui designer"" OR ""visual designer"" ) ( near ""San Francisco"" ) (html AND css ) (photoshop OR ps OR mockup OR mocksup OR bootstrap )"
finding user experience designers in the california area,site:dribbble.com (web OR &#34;ux/ui&#34; OR &#34;user experience&#34;) AND designer AND (california OR &#34;los angeles&#34; OR &#34;san francisco&#34; OR &#34;bay area&#34;) -we -jobs -job
x-ray into design sites for a designer in the california area,site:coroflot.com AND (wordpress OR dreamweaver OR balsamiq OR wamp OR mamp OR &#34;wamp/mamp&#34; OR templatetoaster OR fireworks) AND (sass OR bootstrap OR html OR css OR js OR javascript OR java) AND (california OR &#34;los angeles&#34;)
game or toy designers in the los angeles area,(intitle:resume OR intitle:cv) AND â€œ(toy OR game) (programmer OR developer OR designer)â€ AND (&#34;los angeles&#34; OR &#34;90001..93563&#34;) -job -jobs -sample -templates
designers with contact information no location specified,site:carbonmade.com AND designer AND (&#34;gmail.com&#34;OR &#34;yahoo.com&#34; OR &#34;hotmail.com&#34; OR &#34;aol.com&#34; OR &#34;msn.com&#34; OR &#34;earthlink.net&#34; OR &#34;sbcglobal.net&#34;)
x-ray search in design website for female illustrators or designers,site:squarespace.com AND (rhino OR solidworks OR illustrator OR &#34;after effects&#34;) AND (toy OR toys OR doll OR dolls OR game OR gaming OR games) AND (she OR her) AND design
